Date,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
1/1/2023,28.5,83,23.9,29.7,3,5,76,0.09,0.37,0.01,36.1,23.5,94,64,29.747,29.612,12.7,16.1,36.1
1/2/2023,20.4,92,18.5,29.7,2.1,3.4,68,0.09,0.37,0,23.8,17.3,94,90,29.806,29.654,5.8,10.4,23.8
1/3/2023,21.8,68,12.1,29.8,6.1,9.2,267,0.15,0.43,0.01,31.2,11.3,91,48,29.871,29.772,18.4,28.8,31.2
1/4/2023,23.1,46,5.4,30,16,23.5,258,0.15,0.43,0,27.2,19.8,53,34,30.175,29.831,28.8,41.4,27.2
1/5/2023,33.3,39,10.7,30,10.7,15,248,0.15,0.43,0,41.4,19.5,57,27,30.163,29.83,21.9,31.1,41.4
1/6/2023,34.2,50,17.4,29.8,6.2,9.2,249,0.15,0.43,0,38.8,29,65,29,30.028,29.74,19.6,27.6,38.8
1/7/2023,32.3,46,13.9,30.1,9.1,13.5,251,0.15,0.43,0,37.3,29.9,56,32,30.15,30.025,19.6,31.1,37.3
1/8/2023,35.4,31,7.3,30,11.4,16,254,0.15,0.43,0,42.2,28.2,43,21,30.13,29.896,25.3,34.5,42.2
1/9/2023,36,47,17.8,29.8,14.7,21.3,257,0.15,0.43,0,40.8,27.4,57,36,29.974,29.711,32.2,43.7,40.8
1/10/2023,38.1,60,25.3,29.6,13.6,19.7,260,0.15,0.43,0,42.9,34.3,81,46,29.73,29.505,25.3,39.1,42.9
1/11/2023,30.3,65,19.3,29.7,7.2,10.6,220,0.17,0.45,0.01,34.2,26.8,93,46,30.137,29.524,20.7,31.1,34.2
1/12/2023,32.5,42,11.3,30.3,8.8,13.1,252,0.17,0.45,0,40.4,25.6,55,25,30.33,30.122,19.6,28.8,40.4
1/13/2023,42.9,41,20.5,30.1,9.4,13.7,215,0.17,0.45,0,51.1,34.4,53,32,30.259,29.797,19.6,27.6,51.1
1/14/2023,42.9,38,18.7,29.6,11.7,17.4,224,0.17,0.45,0,46.4,37.5,55,29,29.797,29.429,24.2,36.8,46.4
1/15/2023,31.1,70,21.8,29.3,2.8,4.4,157,0.18,0.46,0.01,40.5,24.9,93,42,29.426,29.25,17.3,27.6,40.5
1/16/2023,30.7,51,14.2,29.5,9.9,14.9,192,0.18,0.46,0,37,20.3,73,38,29.583,29.353,25.3,39.1,37
1/17/2023,22.6,78,16.5,29.6,2.8,4.5,57,0.18,0.46,0,37.3,12.7,90,48,29.676,29.553,10.4,16.1,37.3
1/18/2023,20.7,75,13.7,29.8,3.6,5.7,290,0.19,0.47,0.01,25.8,16.2,90,47,29.914,29.615,20.7,31.1,25.8
1/19/2023,22.9,45,4.1,30,9.7,13.8,261,0.19,0.47,0,31.1,14.8,69,24,30.103,29.874,25.3,40.3,31.1
1/20/2023,14.4,73,7.3,30.2,0.7,1.4,31,0.19,0.47,0,24.5,5,85,59,30.284,30.086,5.8,11.5,24.5
1/21/2023,13.7,70,5.1,30.2,2.5,4.3,299,0.19,0.47,0,24.9,1.6,87,48,30.327,30.107,12.7,21.9,24.9
1/22/2023,22.1,62,10.9,29.9,1.9,3.5,139,0.2,0.48,0.01,32.1,7.9,79,45,30.112,29.827,10.4,18.4,32.1
1/23/2023,20.2,82,15.5,30.1,1.4,2.7,96,0.23,0.51,0.01,27.2,8.2,91,70,30.166,30.006,8.1,13.8,27.2
1/24/2023,19.9,63,8.7,30.1,3.8,6.3,140,0.23,0.51,0,31.5,7.9,92,34,30.131,29.947,12.7,23,31.5
1/25/2023,17.6,48,1,30.2,4.6,7.8,263,0.23,0.51,0,24.1,14.4,60,37,30.345,30.076,13.8,19.6,24.1
1/26/2023,20.8,44,2,30.2,13.4,19.6,252,0.24,0.52,0.01,27,14.5,51,32,30.332,30.057,26.5,39.1,27
1/27/2023,26.8,55,12.6,29.8,13.6,19.9,254,0.24,0.52,0,33.2,23.7,81,43,30.063,29.687,26.5,40.3,33.2
1/28/2023,21,69,11.9,29.8,6.8,10.5,286,0.24,0.52,0,32.5,3.1,89,50,29.963,29.604,23,33.4,32.5
1/29/2023,0.8,80,5.4,30.1,3.6,5.5,52,0.24,0.52,0,7.2,9.5,84,77,30.396,29.845,10.4,15,7.2
1/30/2023,0.1,82,4.3,30.4,1.3,2.2,48,0.24,0.52,0,9.5,9.4,85,79,30.461,30.335,5.8,8.1,9.5
1/31/2023,16.6,42,3.5,30.3,12.2,16.8,258,0.28,0.56,0.01,26,2.3,82,24,30.451,30.188,21.9,33.4,26
2/1/2023,25.7,48,8.8,30.2,12.2,17.3,254,0,0.41,0,33.1,19.5,55,40,30.217,30.093,24.2,33.4,33.1
2/2/2023,31.6,39,8.5,30.3,9.7,13.9,260,0,0.41,0,40.5,24.1,54,24,30.33,30.151,18.4,28.8,40.5
2/3/2023,37.2,22,1.8,30.2,11.3,16.3,263,0,0.41,0,45.8,29.8,30,16,30.313,29.968,21.9,32.2,45.8
2/4/2023,36.1,30,7.3,29.9,13.9,21.4,270,0,0.41,0,40.6,31.8,40,18,29.973,29.846,29.9,44.9,40.6
2/5/2023,40.1,30,9.8,29.8,10.5,15.5,200,0,0.41,0,48.6,29.8,76,21,29.959,29.537,23,34.5,48.6
2/6/2023,26.8,49,9.7,29.7,8.5,12.9,243,0,0.41,0,31.6,14.5,72,36,30.127,29.496,25.3,41.4,31.6
2/7/2023,24.1,50,6.6,30.2,1.7,3,1,0,0.41,0,44,10.7,77,17,30.286,30.129,9.2,12.7,44
2/8/2023,25.1,54,10.2,30.1,8.7,13.1,258,0,0.41,0,34.5,9.6,83,34,30.208,29.963,21.9,33.4,34.5
2/9/2023,18.5,46,0.3,30.3,4.5,7.4,300,0,0.41,0,29.8,2.8,70,28,30.526,30.095,16.1,25.3,29.8
2/10/2023,24.7,48,3.9,30.4,3.9,6.1,271,0,0.41,0,50.7,4.5,86,18,30.579,30.247,15,23,50.7
2/11/2023,37,33,6.8,30,3.8,5.7,243,0,0.41,0,55.1,23.4,57,8,30.244,29.794,15,19.6,55.1
2/12/2023,37.6,33,10.3,29.8,7.8,11.6,223,0,0.41,0,48.2,25.1,58,19,29.895,29.788,18.4,28.8,48.2
2/13/2023,37,38,12.2,29.6,7.6,11,198,0,0.41,0,48.1,24.5,68,18,29.884,29.172,24.2,32.2,48.1
2/14/2023,28.9,47,10.3,29.2,11.4,17,202,0,0.41,0,34.8,14.4,83,31,29.588,29.016,27.6,42.6,34.8
2/15/2023,8.3,79,3.2,29.9,2.6,4.6,83,0,0.41,0,14.5,3.5,85,67,30.279,29.592,9.2,12.7,14.5
2/16/2023,15.1,52,2.3,30.4,4.3,6.6,268,0.03,0.44,0.01,31,3.6,86,24,30.461,30.278,17.3,28.8,31
2/17/2023,33.7,29,4.7,30.2,10.1,14.4,230,0.03,0.44,0,43,23.5,38,20,30.327,29.971,23,33.4,43
2/18/2023,33.6,24,0.4,29.8,11.7,17.6,261,0.03,0.44,0,40.5,29.6,33,16,29.971,29.629,27.6,46,40.5
2/19/2023,28.5,50,11.4,29.7,14.6,21.4,266,0.03,0.44,0,32.5,24.3,76,32,29.831,29.624,35.7,56.4,32.5
